Trade#,Type,Signal,Date/Time,Price,Contracts,Profit€,Profit%,Cum. Profit€
357,Entry Long,Long,14-07-2021 10:35,1.229,32,0.18,0.46,8.71
357,Exit Long,Long Exit,14-07-2021 10:40,1.2356,32,0.18,0.46,8.71
358,Entry Short,Short,14-07-2021 12:10,1.2397,32,0.19,0.64,8.9
358,Exit Short,Short Exit,14-07-2021 12:20,1.2327,32,0.19,0.64,8.9
359,Entry Long,Long,14-07-2021 13:00,1.216,32,-0.15,-0.38,8.75
359,Exit Long,Long Exit,14-07-2021 13:05,1.2124,32,-0.15,-0.38,8.75
360,Entry Short,Short,14-07-2021 13:45,1.2223,32,0.09,0.4,8.85
360,Exit Short,Short Exit,14-07-2021 13:50,1.2184,32,0.09,0.4,8.85
361,Entry Short,Short,14-07-2021 16:00,1.2064,33,-0.28,-0.54,8.57
361,Exit Short,Short Exit,14-07-2021 16:05,1.2139,33,-0.28,-0.54,8.57
362,Entry Long,Long,15-07-2021 04:40,1.2683,31,-0.26,-0.66,8.31
362,Exit Long,Long Exit,15-07-2021 08:10,1.261,31,-0.26,-0.66,8.31
363,Entry Long,Long,15-07-2021 09:35,1.2607,31,0.11,0.29,8.42
363,Exit Long,Long Exit,15-07-2021 09:40,1.2654,31,0.11,0.29,8.42
364,Entry Long,Long,15-07-2021 12:25,1.2492,32,0.12,0.31,8.55
364,Exit Long,Long Exit,15-07-2021 12:30,1.2541,32,0.12,0.31,8.55
365,Entry Long,Long,15-07-2021 17:05,1.2444,32,-0.45,-1.13,8.1
365,Exit Long,Long Exit,15-07-2021 17:30,1.2313,32,-0.45,-1.13,8.1
366,Entry Short,Short,15-07-2021 19:15,1.2505,31,0.05,0.28,8.14
366,Exit Short,Short Exit,15-07-2021 19:20,1.248,31,0.05,0.28,8.14
367,Entry Short,Short,15-07-2021 21:30,1.2185,32,-0.24,-0.46,7.9
367,Exit Short,Short Exit,15-07-2021 21:50,1.2251,32,-0.24,-0.46,7.9
368,Entry Short,Short,15-07-2021 22:20,1.221,32,0.13,0.49,8.03
368,Exit Short,Short Exit,15-07-2021 22:25,1.216,32,0.13,0.49,8.03
369,Entry Short,Short,15-07-2021 22:50,1.2265,32,-0.1,-0.09,7.93
369,Exit Short,Short Exit,15-07-2021 22:55,1.2286,32,-0.1,-0.09,7.93
370,Entry Long,Long,16-07-2021 02:35,1.2138,32,-0.18,-0.48,7.75
370,Exit Long,Long Exit,16-07-2021 02:40,1.209,32,-0.18,-0.48,7.75
371,Entry Short,Short,16-07-2021 03:50,1.2183,32,-0.22,-0.41,7.52
371,Exit Short,Short Exit,16-07-2021 03:55,1.2243,32,-0.22,-0.41,7.52
372,Entry Short,Short,16-07-2021 08:40,1.2259,32,0.29,0.9,7.82
372,Exit Short,Short Exit,16-07-2021 09:35,1.2158,32,0.29,0.9,7.82
373,Entry Long,Long,16-07-2021 17:30,1.1997,33,0.02,0.05,7.84
373,Exit Long,Long Exit,16-07-2021 17:35,1.2013,33,0.02,0.05,7.84
374,Entry Long,Long,16-07-2021 19:50,1.172,34,-0.2,-0.5,7.64
374,Exit Long,Long Exit,16-07-2021 20:10,1.1671,34,-0.2,-0.5,7.64
375,Entry Long,Long,17-07-2021 04:20,1.2106,33,-0.23,-0.57,7.41
375,Exit Long,Long Exit,17-07-2021 04:30,1.2047,33,-0.23,-0.57,7.41
376,Entry Long,Long,17-07-2021 05:10,1.1952,33,0.08,0.2,7.49
376,Exit Long,Long Exit,17-07-2021 05:15,1.1986,33,0.08,0.2,7.49
377,Entry Short,Short,17-07-2021 07:30,1.1898,33,0.2,0.68,7.7
377,Exit Short,Short Exit,17-07-2021 07:35,1.1827,33,0.2,0.68,7.7
378,Entry Long,Long,17-07-2021 08:20,1.1823,33,-0.2,-0.51,7.5
378,Exit Long,Long Exit,17-07-2021 08:25,1.1772,33,-0.2,-0.51,7.5
379,Entry Long,Long,17-07-2021 09:40,1.1783,33,-0.5,-1.28,7
379,Exit Long,Long Exit,17-07-2021 10:40,1.1642,33,-0.5,-1.28,7
380,Entry Long,Long,17-07-2021 11:30,1.1507,34,0.11,0.28,7.11
380,Exit Long,Long Exit,17-07-2021 11:35,1.1548,34,0.11,0.28,7.11
381,Entry Short,Short,17-07-2021 12:50,1.1593,34,-0.15,-0.22,6.96
381,Exit Short,Short Exit,17-07-2021 13:00,1.1628,34,-0.15,-0.22,6.96
382,Entry Long,Long,17-07-2021 20:15,1.1565,34,-0.11,-0.29,6.84
382,Exit Long,Long Exit,17-07-2021 20:20,1.1541,34,-0.11,-0.29,6.84
383,Entry Long,Long,18-07-2021 16:10,1.1945,33,-0.1,-0.26,6.74
383,Exit Long,Long Exit,18-07-2021 16:20,1.1924,33,-0.1,-0.26,6.74
384,Entry Long,Long,18-07-2021 17:15,1.1947,33,0.09,0.24,6.84
384,Exit Long,Long Exit,18-07-2021 17:20,1.1985,33,0.09,0.24,6.84
385,Entry Short,Short,19-07-2021 07:15,1.1862,33,0.22,0.72,7.06
385,Exit Short,Short Exit,19-07-2021 07:20,1.1786,33,0.22,0.72,7.06
386,Entry Long,Long,19-07-2021 08:15,1.1758,34,0.11,0.27,7.16
386,Exit Long,Long Exit,19-07-2021 08:40,1.1799,34,0.11,0.27,7.16
387,Entry Short,Short,19-07-2021 09:05,1.1785,33,0.17,0.59,7.33
387,Exit Short,Short Exit,19-07-2021 09:35,1.1725,33,0.17,0.59,7.33
388,Entry Short,Short,19-07-2021 11:35,1.1664,34,-0.33,-0.67,7
388,Exit Short,Short Exit,19-07-2021 12:45,1.1751,34,-0.33,-0.67,7
389,Entry Short,Short,19-07-2021 13:00,1.1705,34,-0.14,-0.19,6.86
389,Exit Short,Short Exit,19-07-2021 13:05,1.1737,34,-0.14,-0.19,6.86
390,Entry Short,Short,19-07-2021 16:10,1.1846,33,-0.08,-0.06,6.78
390,Exit Short,Short Exit,19-07-2021 16:15,1.1862,33,-0.08,-0.06,6.78
391,Entry Short,Short,19-07-2021 16:30,1.1809,33,0.2,0.67,6.98
391,Exit Short,Short Exit,19-07-2021 17:35,1.1739,33,0.2,0.67,6.98
392,Entry Long,Long,19-07-2021 19:15,1.1687,34,-0.08,-0.19,6.9
392,Exit Long,Long Exit,19-07-2021 19:20,1.1674,34,-0.08,-0.19,6.9
393,Entry Long,Long,19-07-2021 21:20,1.155,34,-0.17,-0.43,6.73
393,Exit Long,Long Exit,19-07-2021 21:30,1.1509,34,-0.17,-0.43,6.73
394,Entry Long,Long,19-07-2021 23:10,1.1263,35,-0.37,-0.95,6.36
394,Exit Long,Long Exit,19-07-2021 23:20,1.1165,35,-0.37,-0.95,6.36
395,Entry Short,Short,20-07-2021 00:05,1.1228,35,-0.26,-0.5,6.1
395,Exit Short,Short Exit,20-07-2021 00:10,1.1293,35,-0.26,-0.5,6.1
396,Entry Short,Short,20-07-2021 00:30,1.1259,35,0.14,0.52,6.24
396,Exit Short,Short Exit,20-07-2021 00:55,1.121,35,0.14,0.52,6.24
397,Entry Long,Long,20-07-2021 01:30,1.119,35,-0.08,-0.21,6.16
397,Exit Long,Long Exit,20-07-2021 01:35,1.1175,35,-0.08,-0.21,6.16
398,Entry Short,Short,20-07-2021 02:50,1.1268,35,0.02,0.22,6.18
398,Exit Short,Short Exit,20-07-2021 02:55,1.1252,35,0.02,0.22,6.18
399,Entry Short,Short,20-07-2021 08:50,1.1254,35,0.23,0.75,6.41
399,Exit Short,Short Exit,20-07-2021 09:00,1.1179,35,0.23,0.75,6.41
400,Entry Short,Short,20-07-2021 09:50,1.1252,35,0.18,0.6,6.59
400,Exit Short,Short Exit,20-07-2021 09:55,1.1193,35,0.18,0.6,6.59
401,Entry Short,Short,20-07-2021 14:40,1.0558,37,-0.31,-0.62,6.28
401,Exit Short,Short Exit,20-07-2021 15:00,1.0632,37,-0.31,-0.62,6.28
402,Entry Short,Short,20-07-2021 15:25,1.059,37,-0.25,-0.49,6.03
402,Exit Short,Short Exit,20-07-2021 15:45,1.065,37,-0.25,-0.49,6.03
403,Entry Short,Short,20-07-2021 17:10,1.059,37,0.28,0.88,6.31
403,Exit Short,Short Exit,20-07-2021 17:40,1.0505,37,0.28,0.88,6.31
404,Entry Long,Long,20-07-2021 18:15,1.0425,38,0.03,0.06,6.34
404,Exit Long,Long Exit,20-07-2021 18:20,1.044,38,0.03,0.06,6.34
405,Entry Long,Long,20-07-2021 19:15,1.0222,39,0.17,0.43,6.51
405,Exit Long,Long Exit,20-07-2021 19:20,1.0274,39,0.17,0.43,6.51
406,Entry Short,Short,20-07-2021 23:50,1.0452,38,-0.21,-0.38,6.29
406,Exit Short,Short Exit,20-07-2021 23:55,1.05,38,-0.21,-0.38,6.29
407,Entry Long,Long,21-07-2021 10:10,1.0464,38,-0.28,-0.7,6.01
407,Exit Long,Long Exit,21-07-2021 10:15,1.0399,38,-0.28,-0.7,6.01
408,Entry Long,Long,22-07-2021 05:55,1.154,34,0.05,0.12,6.06
408,Exit Long,Long Exit,22-07-2021 06:00,1.1563,34,0.05,0.12,6.06
409,Entry Short,Short,22-07-2021 08:00,1.1628,34,0.03,0.24,6.09
409,Exit Short,Short Exit,22-07-2021 08:05,1.1609,34,0.03,0.24,6.09
410,Entry Long,Long,23-07-2021 06:20,1.1852,33,-0.11,-0.28,5.98
410,Exit Long,Long Exit,23-07-2021 06:25,1.1828,33,-0.11,-0.28,5.98
411,Entry Long,Long,23-07-2021 18:20,1.182,33,-0.14,-0.35,5.85
411,Exit Long,Long Exit,23-07-2021 18:30,1.1788,33,-0.14,-0.35,5.85
412,Entry Long,Long,23-07-2021 19:25,1.1702,34,0.03,0.08,5.88
412,Exit Long,Long Exit,23-07-2021 19:30,1.1721,34,0.03,0.08,5.88
413,Entry Short,Short,23-07-2021 20:35,1.1739,34,0.23,0.74,6.11
413,Exit Short,Short Exit,23-07-2021 21:00,1.1662,34,0.23,0.74,6.11
414,Entry Long,Long,23-07-2021 21:30,1.1684,34,0.07,0.17,6.18
414,Exit Long,Long Exit,23-07-2021 21:35,1.1713,34,0.07,0.17,6.18
415,Entry Short,Short,24-07-2021 03:40,1.1537,34,0.14,0.52,6.32
415,Exit Short,Short Exit,24-07-2021 03:45,1.1486,34,0.14,0.52,6.32
416,Entry Short,Short,24-07-2021 04:25,1.152,34,-0.13,-0.17,6.19
416,Exit Short,Short Exit,24-07-2021 04:30,1.1549,34,-0.13,-0.17,6.19
417,Entry Short,Short,24-07-2021 05:00,1.1562,34,-0.13,-0.17,6.06
417,Exit Short,Short Exit,24-07-2021 05:05,1.1591,34,-0.13,-0.17,6.06
418,Entry Long,Long,25-07-2021 05:45,1.2131,32,0.12,0.31,6.18
418,Exit Long,Long Exit,25-07-2021 05:50,1.2178,32,0.12,0.31,6.18
419,Entry Long,Long,25-07-2021 11:20,1.2137,32,0.17,0.43,6.34
419,Exit Long,Long Exit,25-07-2021 11:55,1.2199,32,0.17,0.43,6.34
420,Entry Long,Long,25-07-2021 20:20,1.2211,32,-0.12,-0.3,6.23
420,Exit Long,Long Exit,25-07-2021 20:25,1.2184,32,-0.12,-0.3,6.23
421,Entry Long,Long,25-07-2021 21:35,1.2199,32,-0.2,-0.51,6.03
421,Exit Long,Long Exit,25-07-2021 21:40,1.2147,32,-0.2,-0.51,6.03
422,Entry Long,Long,25-07-2021 22:50,1.2111,33,-0.17,-0.42,5.86
422,Exit Long,Long Exit,25-07-2021 23:00,1.207,33,-0.17,-0.42,5.86
423,Entry Short,Short,26-07-2021 01:05,1.2027,33,0.09,0.4,5.96
423,Exit Short,Short Exit,26-07-2021 01:10,1.1989,33,0.09,0.4,5.96
424,Entry Long,Long,26-07-2021 02:15,1.1992,33,0.09,0.24,6.05
424,Exit Long,Long Exit,26-07-2021 02:20,1.203,33,0.09,0.24,6.05
425,Entry Long,Long,26-07-2021 22:35,1.3261,30,-0.005,-0.01,6.04
425,Exit Long,Long Exit,26-07-2021 22:40,1.327,30,-0.005,-0.01,6.04
426,Entry Long,Long,26-07-2021 23:15,1.3295,30,-0.16,-0.4,5.89
426,Exit Long,Long Exit,26-07-2021 23:30,1.3253,30,-0.16,-0.4,5.89
427,Entry Long,Long,27-07-2021 07:00,1.2598,31,0.31,0.78,6.19
427,Exit Long,Long Exit,27-07-2021 07:05,1.2707,31,0.31,0.78,6.19
428,Entry Short,Short,27-07-2021 08:10,1.257,31,0.37,1.11,6.57
428,Exit Short,Short Exit,27-07-2021 09:10,1.244,31,0.37,1.11,6.57
429,Entry Long,Long,27-07-2021 12:20,1.2227,32,0.17,0.43,6.73
429,Exit Long,Long Exit,27-07-2021 12:25,1.2289,32,0.17,0.43,6.73
430,Entry Short,Short,27-07-2021 13:05,1.2239,32,-0.3,-0.61,6.43
430,Exit Short,Short Exit,27-07-2021 13:10,1.2324,32,-0.3,-0.61,6.43
431,Entry Short,Short,27-07-2021 13:30,1.2279,32,-0.28,-0.56,6.14
431,Exit Short,Short Exit,27-07-2021 13:45,1.2358,32,-0.28,-0.56,6.14
432,Entry Long,Long,28-07-2021 02:15,1.2456,32,0.14,0.35,6.28
432,Exit Long,Long Exit,28-07-2021 02:40,1.2509,32,0.14,0.35,6.28
433,Entry Short,Short,28-07-2021 04:20,1.2472,32,-0.23,-0.41,6.05
433,Exit Short,Short Exit,28-07-2021 04:30,1.2533,32,-0.23,-0.41,6.05
434,Entry Short,Short,28-07-2021 05:00,1.2434,32,-0.54,-1.19,5.52
434,Exit Short,Short Exit,28-07-2021 05:05,1.2592,32,-0.54,-1.19,5.52
435,Entry Long,Long,28-07-2021 23:20,1.2861,31,-0.15,-0.38,5.36
435,Exit Long,Long Exit,28-07-2021 23:30,1.2822,31,-0.15,-0.38,5.36
436,Entry Short,Short,29-07-2021 02:05,1.3004,30,-0.17,-0.27,5.2
436,Exit Short,Short Exit,29-07-2021 02:10,1.3049,30,-0.17,-0.27,5.2
437,Entry Short,Short,29-07-2021 07:05,1.2803,31,-0.14,-0.19,5.06
437,Exit Short,Short Exit,29-07-2021 07:10,1.2838,31,-0.14,-0.19,5.06
438,Entry Short,Short,29-07-2021 07:30,1.2852,31,0.02,0.2,5.08
438,Exit Short,Short Exit,29-07-2021 07:35,1.2836,31,0.02,0.2,5.08
439,Entry Short,Short,29-07-2021 09:05,1.2771,31,-0.38,-0.79,4.7
439,Exit Short,Short Exit,29-07-2021 09:10,1.2882,31,-0.38,-0.79,4.7
440,Entry Short,Short,29-07-2021 09:25,1.2805,31,0.24,0.77,4.94
440,Exit Short,Short Exit,29-07-2021 09:45,1.2717,31,0.24,0.77,4.94
441,Entry Short,Short,29-07-2021 20:40,1.2729,31,0.28,0.86,5.22
441,Exit Short,Short Exit,29-07-2021 20:45,1.263,31,0.28,0.86,5.22
442,Entry Long,Long,29-07-2021 21:30,1.2694,31,0.17,0.43,5.39
442,Exit Long,Long Exit,29-07-2021 22:10,1.2759,31,0.17,0.43,5.39
